name,troopCost,manaCost,playableOn,type,cardText,flavorText,power,toughness,range,image,artist
Gelweed Farmer,,1,"plains,forest,chaos",Troop 1 - Farmer,,"<i>From every furrow, the forest reaps its quiet bounty.</i>",0,1,,Gemini_Generated_Image_ydtygydtygydtygy.png,AI
Goat Rancher,,1,"plains,forest,mountain,chaos",Troop 1 - Rancher,,<i>Even beasts of burden bow to the will of the green.</i>,0,1,,Gemini_Generated_Image_c4huyac4huyac4hu.png,AI
Horse Farier,,1,"plains,forest,mountain,chaos",Troop 1 - Farier,This card creates an extra Troop point for every two adjacent Plains tiles.,,0,1,,Gemini_Generated_Image_7rxfvk7rxfvk7rxf.png,AI
Gelweed Miller,,1,"plains,forest,mountain,chaos",Troop 0 - Miller,Gelweed Miller produces a Troop point for each Gelweed Farmer you control.,,0,1,,Gemini_Generated_Image_84vz7z84vz7z84vz.png,AI
Arcane Smith,,1,"plains,forest,mountain",Troop 1 - Smith,,<i>Each strike a hymn to the earth's burning heart.</i>,0,1,,Gemini_Generated_Image_zb0furzb0furzb0f.png,AI
Merchant,,1,"ocean,plains,forest,mountain",Troop 1 - Merchant,,"<i>Gold is but a reflection of trust, minted by faith.</i>",0,1,,Gemini_Generated_Image_7nqzav7nqzav7nqz.png,AI
Shipwright,,1,ocean,Troop 1 - Shipwright,Troops with an Ocean tile adjacent to them have +0/+1.,,0,1,,Gemini_Generated_Image_u2t8k0u2t8k0u2t8.png,AI
Treehouse Builder,,1,"plains,forest,mountain",Troop 1 - Builder,,<i>Whispers of the old woods echo through their deeds.</i>,0,1,,Gemini_Generated_Image_hvv693hvv693hvv6.png,AI
Gelweed Farmer,,1,"plains,forest,chaos",Troop 1 - Farmer,,"<i>From every furrow, the forest reaps its quiet bounty.</i>",0,1,,Gemini_Generated_Image_ydtygydtygydtygy.png,AI
Spear Woman,1,1,,Creature - Elf,,Her spear moves like sunlight through branches.,2,1,1,Gemini_Generated_Image_ndsxi7ndsxi7ndsx.png,AI
Leaf Sniper,2,1,,Creature - Elf,Damage to Troops is doubled.,,2,3,2,Gemini_Generated_Image_9tsldc9tsldc9tsl.png,AI
Dark Assassin,2,2,,Creature - Elf,,A silent blade leaves no trace.,4,1,1,Gemini_Generated_Image_ub1tygub1tygub1t.png,AI
Forest Hunter,3,3,,Creature - Elf,"If you control at least 3 forest Land cards, <i>Forest Hunter</i> cannot be targeted by enemy spells or abilities.",,3,3,1,Gemini_Generated_Image_1b8tjf1b8tjf1b8t.png,AI
Spirit Mage,4,3,,Creature - Elf Mage,"Every time <i>Spirit Mage</i> does damage to a creature or player, draw a card.",,4,2,1,Gemini_Generated_Image_mtydtgmtydtgmtyd.png,AI
Spell-Blade,5,4,,Creature - Elf,"If you control an <i>Arcane Smith</i>, add a +1/+1 to <i>Spell-Blade</i>. If you control an <i>Elf Mage</i>, add a +1/+1 to <i>Spell-Blade</i>.",,5,5,1,Gemini_Generated_Image_b19fffb19fffb19f.png,AI
Artificer,4,2,,Creature - Elf Mage,"When <i>Artificer</i> comes into play, give target creature you control +3/+3 if you control an <i>Arcane Smith</i>.",,1,1,1,Gemini_Generated_Image_qcwfklqcwfklqcwf.png,AI
Spear Woman,1,1,,Creature - Elf,,Her spear moves like sunlight through branches.,2,1,1,Gemini_Generated_Image_ndsxi7ndsxi7ndsx.png,AI
Spear Woman,1,1,,Creature - Elf,,Her spear moves like sunlight through branches.,2,1,1,Gemini_Generated_Image_ndsxi7ndsxi7ndsx.png,AI
World Tree,,4,,Event - Permanent,<i>World Tree</i> must be played on a Forest Land tile you control. Forest lands you control cannot turn chaotic.,,,,,Gemini_Generated_Image_5jzjh25jzjh25jzj.png,AI
Endless Thicket,,,,Event - Instant,"Until the start of your next turn, creatures you control attacking a Forest Tile get +1/+1. Lose 1 health.",,,,,Gemini_Generated_Image_3urv5z3urv5z3urv.png,AI
Shooting Star,,,,Event - Instant,Destroy target permanent event. Lose 2 health.,,,,,Gemini_Generated_Image_n4vz67n4vz67n4vz.png,AI
Spirit Festival,3,2,,Event,"At the beginning of your next turn, double the troop points you would otherwise generate, then destroy this card.",,,,,Gemini_Generated_Image_jseg5qjseg5qjseg.png,AI
Bountiful Harvest,2,2,,Event - Permanent,Choose a <i>Gelweed Farmer</i> you control. The farmer and all adjacent Troops you control get +0/+2.,,,,,Gemini_Generated_Image_bt3lk0bt3lk0bt3l.png,AI
Flash Flood,,3,,Event - Instant,"Attach <i>Flash Flood</i> to any Land tile. The owner of the tile must move any troop off of it as they normally would. If they can't, destroy the Troop, then destroy <i>Flash Flood</i> and lose 1 health.",,,,,Gemini_Generated_Image_6wp8j36wp8j36wp8.png,AI
Blessing,3,1,,Event,Regain 1 health point.,,,,,Gemini_Generated_Image_q80x2fq80x2fq80x.png,AI
