name,troopCost,manaCost,playableOn,type,cardText,flavorText,power,toughness,range,image,artist,mainType,civilizationType,rarity
Gelweed Farmer,,,"plains,forest,chaos",Farmer,,"<i>From every furrow, the forest reaps its quiet bounty.</i>",0,1,,Gemini_Generated_Image_ydtygydtygydtygy.png,AI,troop,elf,common
Gelweed Farmer,,,"plains,forest,chaos",Farmer,,"<i>From every furrow, the forest reaps its quiet bounty.</i>",0,1,,Gemini_Generated_Image_ydtygydtygydtygy.png,AI,troop,elf,common
Gelweed Farmer,,,"plains,forest,chaos",Farmer,,"<i>From every furrow, the forest reaps its quiet bounty.</i>",0,1,,Gemini_Generated_Image_ydtygydtygydtygy.png,AI,troop,elf,common
Ibis Orchardist,,,"plains,forest,chaos",Farmer,,"<i>From every furrow, the forest reaps its quiet bounty.</i>",0,1,,Gemini_Generated_Image_4dnc8v4dnc8v4dnc.png,AI,troop,elf,common
Goat Rancher,,,"plains,forest,mountain,chaos",Rancher,,<i>Even beasts of burden bow to the will of the green.</i>,0,1,,Gemini_Generated_Image_c4huyac4huyac4hu.png,AI,troop,elf,common
Steed Farier,,,"plains,forest,mountain,chaos",Farier,<i>Horse Farier</i> can move two spaces per turn.,,0,1,,Gemini_Generated_Image_7rxfvk7rxfvk7rxf.png,AI,troop,elf,common
Gelweed Miller,,,"plains,forest,mountain,chaos",Miller,<i>Gelweed Miller</i> produces one Cinder for each <i>Gelweed Farmer</i> you control.,,0,1,,Gemini_Generated_Image_84vz7z84vz7z84vz.png,AI,troop,elf,common
Wholesome Concoctor,,,"plains,forest,mountain,chaos",Alchemist,,"<i>Her brews carry the laughter of new leaves and the memory of old roots—comfort for the weary, courage for the doubtful.</i>",0,1,,Gemini_Generated_Image_flqdinflqdinflqd.png,AI,troop,elf,common
Enigmatic Smith,,,"plains,forest,mountain",Smith,,<i>Each strike a hymn to the earth's burning heart.</i>,0,1,,Gemini_Generated_Image_zb0furzb0furzb0f.png,AI,troop,elf,common
Runic Trader,,,"ocean,plains,forest,mountain",Merchant,"<i>Merchant</i> produces an extra Cinder if you control a <i>Farmer, Rancher, & Farier</i>.","<i>Gold is but a reflection of trust, minted by faith.</i>",0,1,,Gemini_Generated_Image_7nqzav7nqzav7nqz.png,AI,troop,elf,common
Bladebow Shipmaker,,,ocean,Shipwright,<i>Shipwright</i> produces an extra Cinder if you control at least 2 Ocean tiles.,,0,1,,Gemini_Generated_Image_u2t8k0u2t8k0u2t8.png,AI,troop,elf,common
Treehouse Builder,,,"plains,forest,mountain",Builder,<i>Treehouse Builder</i> produces an extra Cinder if you control at least 2 Forest tiles.,<i>Whispers of the old woods echo through their deeds.</i>,0,1,,Gemini_Generated_Image_hvv693hvv693hvv6.png,AI,troop,elf,common
Weave Textiler,,,"plains,forest,mountain",Craftsman,,"<i>From every furrow, the forest reaps its quiet bounty.</i>",0,1,,Gemini_Generated_Image_ydtygydtygydtygy.png,AI,troop,elf,common
Swift Wagoneer,,,"plains,forest,mountain",Wagoner,<i>Wagon Maker</i> produces an extra Cinder if you control five or more Land Tiles.,,0,1,,Gemini_Generated_Image_84vz7z84vz7z84vz.png,AI,troop,elf,common
Ibis Researcher,,,"plains,forest",Scientist,"As long as you control an <i>Ibis Orchardist</i>, discard a card and draw another card at the end of each turn.",,0,1,,Gemini_Generated_Image_4dnc8v4dnc8v4dnc.png,AI,troop,elf,common
Sylvan Ecologist,,,"plains, forest,mountain",Biologist,"If you control a Troop on each Tile type (Ocean, Plains, Forest, and Mountain) <i>Elven Ecologist</i> produces an extra Cinder.",,0,1,,Gemini_Generated_Image_3v9e8z3v9e8z3v9e.png,AI,troop,elf,common
