name,troopCost,manaCost,playableOn,type,cardText,flavorText,power,toughness,range,image,artist
Tomto Farmer,,1,"plains,forest,chaos",Troop 1 - Farmer,,Blood and mud make the richest soil.,0,1,,00043-1401182552.png,AI
Tomto Farmer,,1,"plains,forest,chaos",Troop 1 - Farmer,,Blood and mud make the richest soil.,0,1,,00043-1401182552.png,AI
Battle Farier,,1,"plains,forest,mountain,chaos",Troop 1 - Farier,,"Shoes the warbeasts with iron, not kindness.",0,1,,00044-2121912302.png,AI
Lambi Rancher,,1,"plains,forest,mountain,chaos",Troop 1 - Rancher,,"If it breathes, it can fight. If it bleeds, it can feed.",0,1,,00048-2445205505.png,AI
Tomto Miller,,1,"plains,forest,mountain,chaos",Troop 1 - Miller,,"Grinds the grain, bones, and whatever else gets in the way.",0,1,,00045-3148091946.png,AI
War Smith,,1,"plains,forest,mountain,chaos",Troop 1 - Smith,,His forge rings louder than any war drum.,0,1,,00061-2582206474.png,AI
Potion Merchant,,1,"ocean,plains,forest,mountain,chaos",Troop 0 - Merchant,"Once per turn, you can add a +0/+2 counter to a Troop you control. The counter is destroyed at the beginning of your next turn.",,0,1,,00064-1508474133.png,AI
Pirate Captain,,1,"ocean,chaos",Troop 1 - Shipwright,,"He sails for loot, for blood, and for the story they'll tell when he's gone.",0,1,,00067-2988661985.png,AI
Hut Builder,,1,"plains,forest,mountain,chaos",Troop 0 - Builder,,Walls are just excuses for another brawl.,0,1,,00078-424969986.png,AI
Brutal Spearman,1,1,,Creature - Orc,,"His reach is long, but his patience is short.",2,2,1,00090-2681880704.png,AI
Dread Knight,2,2,,Creature - Orc,,"Where his shadow falls, courage rots.",3,3,1,00095-2681880705.png,AI
Heavy Archer,1,2,,Creature - Orc,,"Bows aren't for finesse, they're for punching holes in cowards.",3,1,2,00115-2681880704.png,AI
Gruff Assassin,3,2,,Creature - Orc,"If <i>Gruff Assassin</i> kills a creature on your turn, at the end of your turn increase it's toughness by 1 to a maximum to 2.",,4,1,1,00118-2681880704.png,AI
Savage Cannibal,1,1,,Creature - Demon,"Whenever a creature you control dies, add a +0/+1 counter to <i>Savage Cannibal</i> unless it would exceed 5 toughness. ",,1,1,1,00159-2681880704.png,AI
General Oorvis,5,4,,Creature - Orc,<i>General Oorvis</i> cannot be blocked by creatures.,,2,2,1,00161-2681880704.png,AI
Bonecrusher,3,3,,Creature - Orc,"Once per turn, you may sacrifice a creature to add a +1/+1 counter to <i>Bonecrusher</i>.",,2,2,1,00174-2681880704.png,AI
Witch Doctor,4,2,,Creature - Orc,"Once per turn, you can pay 4 Troop points and 2 Mana points to return a creature from your graveyard to your hand.",,2,2,1,00179-2681880705.png,AI
Brutal Spearman,1,1,,Creature - Orc,,"His reach is long, but his patience is short.",2,2,1,00090-2681880704.png,AI
Plague,2,1,,Event - Permanent,"<i>Plague</i> must be played on an enemy Land Tile. Troops of type <i>Farmer</i>, <i>Rancher</i>, and <i>Miller</i> on attached Land Tile produce no Troop points.",,,,,00129-2681880704.png,AI
Precious Jewels,1,1,,Event - Permanent,"<i>Ore Vein</i> must be played on a Mountain Land Tile. Attached Land Tile generated double Mana points per turn, and cannot be Chaotic.",,,,,00127-2681880704.png,AI
Training Ground,2,2,,Event - Permanent,"<i>Training Ground</i> must be played on a Land card you control. While you control this Land, all creatures cost 1 less Troop point to cast.",,,,,00147-2681880704.png,AI
War Machine,4,4,,Event - Permanent,<i>War Machine</i> must be played on an enemy Land card. Creatures or Troops defending this land take 1 direct damage. The owner of <i>War Machine</i> can pay its casting cost to return it to their hand from the field.,,,,,00152-2681880704.png,AI
Blood Frenzy,3,1,,Event - Permanent,"While <i>Blood Frenzy</i> is under your control, creatures you attack with get a +1/+0 until end of turn. Creatures you defend with get -0/-1 till the start of your next turn. You can destroy <i>Blood Frenzy</i> by sacrificing a creature on your turn.",,,,,00154-2681880704.png,AI
Honor Killing,2,1,,Event,Destroy target enemy creature.,,,,,00157-2681880704.png,
Axe of Oorvis,2,2,,Event - Permanent,"Target creature gets +2/+0 counter. If the creature is <i>General Oorvis</i>, creature also gets <b>Trample</b>.",,,,,00014-1273197020.png,AI
